clk,posX,posY,BodPosX,BodPosY
2170,-0.026263299969582227,0.11004653140698138,100,0
2201,-0.026294225553916323,0.11003914622769377,100,0
2232,-0.026325149061555825,0.11003175235761208,100,0
2263,-0.026356070490058395,0.11002434979732019,100,0
2294,-0.02638698983698195,0.11001693854740283,100,0
2325,-0.02641790709988445,0.11000951860844532,100,0
2356,-0.026448822276324082,0.11000208998103364,100,0
2387,-0.026479735363859207,0.10999465266575453,100,0
2418,-0.02651064636004834,0.10998720666319539,100,0
2449,-0.02654155526245015,0.10997975197394427,100,0
2480,-0.026572462068623504,0.10997228859859,100,0
2511,-0.026603366776127377,0.10996481653772193,100,0
2542,-0.026634269382520948,0.10995733579193026,100,0
2573,-0.02666516988536355,0.1099498463618058,100,0
2604,-0.026696068282214706,0.10994234824794005,100,0
2635,-0.026726964570634105,0.10993484145092525,100,0
2666,-0.02675785874818153,0.1099273259713542,100,0
2697,-0.02678875081241706,0.10991980180982053,100,0
2728,-0.026819640760900793,0.10991226896691847,100,0
2759,-0.02685052859119313,0.10990472744324295,100,0
2790,-0.026881414300854535,0.10989717723938962,100,0
2821,-0.026912297887445678,0.10988961835595475,100,0
2852,-0.026943179348527434,0.10988205079353539,100,0
2883,-0.026974058681660817,0.10987447455272913,100,0
2914,-0.027004935884406955,0.10986688963413441,100,0
2945,-0.027035810954327232,0.10985929603835025,100,0
2976,-0.027066683888983183,0.1098516937659764,100,0
3007,-0.027097554685936446,0.10984408281761328,100,0
3038,-0.027128423342748863,0.10983646319386198,100,0
3069,-0.02715928985698252,0.10982883489532431,100,0
3100,-0.02719015422619956,0.10982119792260274,100,0
3131,-0.02722101644796234,0.10981355227630042,100,0
3162,-0.02725187651983341,0.1098058979570212,100,0
3193,-0.027282734439375442,0.10979823496536961,100,0
3224,-0.027313590204151347,0.1097905633019509,100,0
3255,-0.027344443811724146,0.10978288296737092,100,0
3286,-0.027375295259657005,0.10977519396223628,100,0
3317,-0.02740614454551337,0.10976749628715426,100,0
3348,-0.027436991666856744,0.10975978994273282,100,0
3379,-0.027467836621250883,0.10975207492958057,100,0
3410,-0.02749867940625965,0.10974435124830687,100,0
3441,-0.027529520019447154,0.10973661889952169,100,0
3472,-0.02756035845837758,0.10972887788383574,100,0
3503,-0.027591194720615324,0.10972112820186042,100,0
3534,-0.027622028803725055,0.10971336985420775,100,0
3565,-0.027652860705271422,0.10970560284149053,100,0
3596,-0.02768369042281943,0.10969782716432216,100,0
3627,-0.02771451795393412,0.10969004282331676,100,0
3658,-0.027745343296180752,0.10968224981908913,100,0
3689,-0.027776166447124842,0.10967444815225476,100,0
3720,-0.02780698740433194,0.10966663782342981,100,0
3751,-0.02783780616536785,0.10965881883323114,100,0
3782,-0.027868622727798525,0.1096509911822763,100,0
3813,-0.027899437089190123,0.10964315487118345,100,0
3844,-0.027930249247108952,0.10963530990057159,100,0
3875,-0.027961059199121483,0.10962745627106021,100,0
3906,-0.027991866942794364,0.10961959398326969,100,0
3937,-0.02802267247569443,0.1096117230378209,100,0
3968,-0.028053475795388704,0.10960384343533551,100,0
3999,-0.028084276899444354,0.10959595517643585,100,0
4030,-0.02811507578542877,0.1095880582617449,100,0
4061,-0.02814587245090943,0.10958015269188641,100,0
4092,-0.02817666689345406,0.10957223846748469,100,0
4123,-0.028207459110630557,0.10956431558916484,100,0
4154,-0.028238249100006965,0.10955638405755255,100,0
4185,-0.028269036859151497,0.10954844387327432,100,0
4216,-0.02829982238563263,0.10954049503695722,100,0
4247,-0.02833060567701888,0.10953253754922902,100,0
4278,-0.028361386730879054,0.10952457141071822,100,0
4309,-0.028392165544782067,0.10951659662205401,100,0
4340,-0.02842294211629706,0.10950861318386616,100,0
4371,-0.02845371644299328,0.10950062109678527,100,0
4402,-0.02848448852244025,0.10949262036144249,100,0
4433,-0.02851525835220758,0.10948461097846973,100,0
4464,-0.02854602592986514,0.10947659294849958,100,0
4495,-0.028576791252982892,0.10946856627216527,100,0
4526,-0.02860755431913105,0.10946053095010076,100,0
4557,-0.02863831512587994,0.10945248698294066,100,0
4588,-0.028669073670800113,0.1094444343713203,100,0
4619,-0.028699829951462304,0.10943637311587563,100,0
4650,-0.028730583965437397,0.10942830321724337,100,0
4681,-0.02876133571029649,0.1094202246760608,100,0
4712,-0.02879208518361078,0.109412137492966,100,0
4743,-0.028822832382951757,0.10940404166859771,100,0
4774,-0.028853577305890978,0.10939593720359532,100,0
4805,-0.028884319950000327,0.10938782409859892,100,0
4836,-0.028915060312851685,0.10937970235424921,100,0
4867,-0.02894579839201726,0.10937157197118769,100,0
4898,-0.028976534185069344,0.10936343295005652,100,0
4929,-0.029007267689580524,0.10935528529149845,100,0
4960,-0.029037998903123412,0.10934712899615702,100,0
4991,-0.029068727823270923,0.1093389640646764,100,0
5022,-0.029099454447596106,0.10933079049770143,100,0
5053,-0.029130178773672192,0.10932260829587766,100,0
5084,-0.029160900799072652,0.10931441745985132,100,0
5115,-0.029191620521371014,0.1093062179902693,100,0
5146,-0.0292223379381411,0.1092980098877792,100,0
5177,-0.0292530530469569,0.10928979315302928,100,0
5208,-0.02928376584539249,0.10928156778666852,100,0
5239,-0.029314476331022278,0.10927333378934649,100,0
5270,-0.02934518450142071,0.10926509116171358,100,0
5301,-0.029375890354162527,0.10925683990442074,100,0
5332,-0.029406593886822638,0.10924858001811963,100,0
5363,-0.029437295096976013,0.10924031150346263,100,0
5394,-0.029467993982197953,0.10923203436110282,100,0
5425,-0.029498690540063925,0.10922374859169384,100,0
